dataset,shot,seed,main_minus_tree,main_minus_no_semantics,main_minus_permuted,status
credit-g,5,0,0.0,0.0,0.002083333333333326,success
credit-g,5,9,0.0,0.0,-0.011547619047619084,success
credit-g,5,19,0.0,0.0,0.0,success
credit-g,10,0,0.0,0.0,0.0,success
credit-g,10,9,0.0,0.0,0.0,success
credit-g,10,19,0.0,0.0,0.0,success
credit-g,20,0,0.0,0.0,0.0,success
credit-g,20,9,0.0,0.0,0.0,success
credit-g,20,19,0.0,0.0,0.0,success
spambase,5,0,0.0,0.0,0.0,success
spambase,5,9,0.0,0.01740276666962881,0.0,success
spambase,5,19,0.0,0.0,0.0,success
spambase,10,0,0.0,0.0,0.0,success
spambase,10,9,0.0,0.0,0.0,success
spambase,10,19,0.0,0.0,0.0,success
spambase,20,0,0.0,0.0,0.0,success
spambase,20,9,0.0,0.0,0.0,success
spambase,20,19,0.0,0.0,0.0,success
