statistic,value
credit_g_main_minus_tree_mean,0
credit_g_main_minus_tree_median,0
main_minus_no_semantics_mean,0.00096682037053493397
main_minus_permuted_mean,-0.00052579365079365322
overall_main_minus_tree_mean,0
positive_shot_mean_count,0
spambase_main_minus_tree_mean,0
spambase_main_minus_tree_median,0
exact_registered_rows,true
no_failed_method_rows,true
overall_main_delta_min,false
both_dataset_mean_and_median_nonnegative,true
main_minus_no_semantics_min,false
main_minus_permuted_min,false
positive_shot_means_min_count,false
all_fallback_and_alpha_zero_exact,true
rescue_required_both_datasets,false
zero_collapse,true
